index,mid,display_name
0,/m/09x0r,Fala
1,/m/0ytgt,Fala infantil
2,/m/01h8n0,Conversação
3,/m/02qldy,Narração e monólogo
4,/m/0261r1,Balbucio
5,/m/0brhx,Síntese de voz
6,/m/07p6fty,Grito
7,/m/07q4ntr,Berro
8,/m/07rwj3x,Uivo estridente
9,/m/07sr1lc,Grito agudo
10,/t/dd00135,Crianças gritando
11,/m/03qc9zr,Grito de pavor
12,/m/02rtxlg,Sussurro
13,/m/01j3sz,Risada
14,/t/dd00001,Risada de bebê
15,/m/07r660_,Gargalhada
16,/m/07s04w4,Risadinha
17,/m/07sq110,Risada forte
18,/m/07rgt08,Risada contida
19,/m/0463cq4,Choro e soluço
20,/t/dd00002,Choro de bebê
21,/m/07qz6j3,Chorinho
22,/m/07qw_06,Lamento e gemido
23,/m/07plz5l,Suspiro
24,/m/015lz1,Canto
25,/m/0l14jd,Coro
26,/m/01swy6,Yodel
27,/m/02bk07,Canto ritualístico
28,/m/01c194,Mantra
29,/t/dd00005,Criança cantando
30,/t/dd00006,Canto sintético
31,/m/06bxc,Rapeando
32,/m/02fxyj,Zumbido vocal
33,/m/07s2xch,Gemido de dor
34,/m/07r4k75,Rosmado
35,/m/01w250,Assobio
36,/m/0lyf6,Respiração
37,/m/07mzm6,Chiado respiratório
38,/m/01d3sd,Ronco
39,/m/07s0dtb,Offegada
40,/m/07pyy8b,Fôlego curto
41,/m/07q0yl5,Fungada
42,/m/01b_21,Tosse
43,/m/0dl9sf8,Limpar a garganta
44,/m/01hsr_,Espirro
45,/m/07ppn3j,Fungada de nariz
46,/m/06h7j,Corrida
47,/m/07qv_x_,Passos arrastados
48,/m/07pbtc8,Andar e passos
49,/m/03cczk,Mastigação
50,/m/07pdhp0,Mordida
51,/m/0939n_,Gargarejo
52,/m/01g90h,Ronco de estômago
53,/m/03q5_w,Arrotos
54,/m/02p3nc,Soluço
55,/m/02_nn,Pum
56,/m/0k65p,Mãos
57,/m/025_jnm,Estalar de dedos
58,/m/0l15bq,Palmas
59,/m/01jg02,Batimentos cardíacos
60,/m/01jg1z,Sopro cardíaco
61,/m/053hz1,Exultação
62,/m/028ght,Aplausos
63,/m/07rkbfh,Tagarelice
64,/m/03qtwd,Multidão
65,/m/07qfr4h,Burburinho de vozes
66,/t/dd00013,Crianças brincando
67,/m/0jbk,Animal
68,/m/068hy,Animais domésticos
69,/m/0bt9lr,Cachorro
70,/m/05tny_,Latido
71,/m/07r_k2n,Latido agudo
72,/m/07qf0zm,Uivo
73,/m/07rc7d9,Latido abafado
74,/m/0ghcn6,Rosnado
75,/t/dd00136,Chorinho de cão
76,/m/01yrx,Gato
77,/m/02yds9,Ronronar
78,/m/07qrkrw,Miado
79,/m/07rjwbb,Fita de gato
80,/m/07r81j2,Grito de gato
81,/m/0ch8v,Animais de fazenda
82,/m/03k3r,Cavalo
83,/m/07rv9rh,Ferradura batendo
84,/m/07q5rw0,Relincho
85,/m/01xq0k1,Gado bovino
86,/m/07rpkh9,Mugido
87,/m/0239kh,Guizo de vaca
88,/m/068zj,Porco
89,/t/dd00018,Grunhido de porco
90,/m/03fwl,Cabra
91,/m/07q0h5t,Berrido de cabra
92,/m/07bgp,Ovelha
93,/m/025rv6n,Ave de capoeira
94,/m/09b5t,Galinha e galo
95,/m/07st89h,Cacarejo
96,/m/07qn5dc,Cantar do galo
97,/m/01rd7k,Peru
98,/m/07svc2k,Gorgolejo de peru
99,/m/09ddx,Pato
100,/m/07qdb04,Grasnido de pato
101,/m/0dbvp,Ganso
102,/m/07qwf61,Grasnido de ganso
103,/m/01280g,Animais selvagens
104,/m/0cdnk,Rugido de felinos grandes
105,/m/04cvmfc,Rugido
106,/m/015p6,Pássaro
107,/m/020bb7,Canto de pássaro
108,/m/07pggtn,Pio de passarinho
109,/m/07sx8x_,Grito de ave
110,/m/0h0rv,Pombo e rola
111,/m/07r_25d,Arruido de pombo
112,/m/04s8yn,Corvo
113,/m/07r5c2p,Grasnido de corvo
114,/m/09d5_,Coruja
115,/m/07r_80w,Pio de coruja
116,/m/05_wcq,Batimento de asas
117,/m/01z5f,Canídeos e lobos
118,/m/06hps,Roedores e ratos
119,/m/04rmv,Rato
120,/m/07r4gkf,Passeio de roedor
121,/m/03vt0,Inseto
122,/m/09xqv,Grilo
123,/m/09f96,Mosquito
124,/m/0h2mp,Mosca doméstica
125,/m/07pjwq1,Zumbido de inseto
126,/m/01h3n,Abelha e vespa
127,/m/09ld4,Sapo
128,/m/07st88b,Cochicho de rã
129,/m/078jl,Cobra
130,/m/07qn4z3,Chocalho de serpente
131,/m/032n05,Vocalização de baleia
132,/m/04rlf,Música
133,/m/04szw,Instrumento musical
134,/m/0fx80y,Instrumento de corda dedilhada
135,/m/0342h,Guitarra
136,/m/02sgy,Guitarra elétrica
137,/m/018vs,Baixo elétrico
138,/m/042v_gx,Violão acústico
139,/m/06w87,Guitarra slide
140,/m/01glhc,Técnica de tap em guitarra
141,/m/07s0s5r,Pinchado de cordas
142,/m/018j2,Banjo
143,/m/0jtg0,Sitar
144,/m/04rzd,Bandolim
145,/m/01bns_,Cítara
146,/m/07xzm,Ukulele
147,/m/05148p4,Teclado musical
148,/m/05r5c,Piano
149,/m/01s0ps,Piano elétrico
150,/m/013y1f,Órgão
151,/m/03xq_f,Órgão eletrônico
152,/m/03gvt,Órgão Hammond
153,/m/0l14qv,Sintetizador
154,/m/01v1d8,Sampler
155,/m/03q5t,Cravo
